product_name,norm_name,source,deal_count,created_at
"Allinson’s Dried Active Yeast 125g","allinson’s dried active yeast 125g","inactive",1,"2026-04-17 10:01:12"
"Athavale’s Methi Mathri 200g","athavale’s methi mathri 200g","inactive",1,"2026-04-17 10:01:12"
"Athavale’s Multigrain Chakali sticks 200g","athavale’s multigrain chakali sticks 200g","inactive",1,"2026-04-17 10:01:12"
"Athavale’s Patal Poha Chivda 200g","athavale’s patal poha chivda 200g","inactive",1,"2026-04-17 10:01:12"
"Athavale’s Puffed Rice Chivda 200g","athavale’s puffed rice chivda 200g","inactive",1,"2026-04-17 10:01:12"
"BIBIGO GYOZA CHICKEN & VEGETABLE – 600g [FZN]","bibigo gyoza chicken & vegetable – 600g [fzn]","inactive",1,"2026-04-17 10:01:12"
"Bigi-Mama  Palmnut Concentrated Soup 400g","bigi-mama  palmnut concentrated soup 400g","inactive",1,"2026-04-17 10:01:12"
"Bigi-Mama  Shrimp 100x10 1 Kg","bigi-mama  shrimp 100x10 1 kg","inactive",1,"2026-04-17 10:01:12"
"Bigi-Mama Abacha 100g","bigi-mama abacha 100g","inactive",1,"2026-04-17 10:01:12"
"Bigi-mama Anchovies Dried 80g","bigi-mama anchovies dried 80g","inactive",1,"2026-04-17 10:01:12"
"Bigi-Mama Hot Pepper Whole 150g","bigi-mama hot pepper whole 150g","inactive",1,"2026-04-17 10:01:12"
"Bigi-mama Ogbono Whole 100g","bigi-mama ogbono whole 100g","inactive",1,"2026-04-17 10:01:12"
"Bigi-Mama Palmnut Soup 800g","bigi-mama palmnut soup 800g","inactive",1,"2026-04-17 10:01:12"
"Bigi-mama Raie Fumee Smoked Coverpot 200g","bigi-mama raie fumee smoked coverpot 200g","inactive",1,"2026-04-17 10:01:12"
"Bigi-Mama Suya Mix 150g","bigi-mama suya mix 150g","inactive",1,"2026-04-17 10:01:12"
"BIKANO CHATAX MASALA – 120g","bikano chatax masala – 120g","inactive",1,"2026-04-17 10:01:12"
"Bikano Dal Mixture  200gm","bikano dal mixture  200gm","inactive",1,"2026-04-17 10:01:12"
"Bikano Dal Moth 200gm","bikano dal moth 200gm","inactive",1,"2026-04-17 10:01:12"
"Bikano Gur rusk 600gm","bikano gur rusk 600gm","inactive",1,"2026-04-17 10:01:12"
"Bikano Premium Kaju Pista Cookies","bikano premium kaju pista cookies","inactive",1,"2026-04-17 10:01:12"
"Bikano Punjabi Bhaji Pakoda  200gm","bikano punjabi bhaji pakoda  200gm","inactive",1,"2026-04-17 10:01:12"
"Bindi 32","bindi 32","inactive",1,"2026-04-17 10:01:12"
"Bindi 33","bindi 33","inactive",1,"2026-04-17 10:01:12"
"Bindi 34","bindi 34","inactive",1,"2026-04-17 10:01:12"
"Bindi 35","bindi 35","inactive",1,"2026-04-17 10:01:12"
"Bindi 36","bindi 36","inactive",1,"2026-04-17 10:01:12"
"Bindi 37","bindi 37","inactive",1,"2026-04-17 10:01:12"
"Bindi 38","bindi 38","inactive",1,"2026-04-17 10:01:12"
"Bindi 42 A 9mm","bindi 42 a 9mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 42 B 7mm","bindi 42 b 7mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 42 C 5mm","bindi 42 c 5mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 43 A 4mm","bindi 43 a 4mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 43 B 5mm","bindi 43 b 5mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 44 A","bindi 44 a","inactive",1,"2026-04-17 10:01:12"
"Bindi 44 B","bindi 44 b","inactive",1,"2026-04-17 10:01:12"
"Bindi 45 A 8mm","bindi 45 a 8mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 45 B 7mm","bindi 45 b 7mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 45 C 6mm","bindi 45 c 6mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 45 D 4mm","bindi 45 d 4mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 45 E 3mm","bindi 45 e 3mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 46 B 0.5mm","bindi 46 b 0.5mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 46 C 1mm","bindi 46 c 1mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 5B 7mm","bindi 5b 7mm","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 1","bindi nr 1","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 10","bindi nr 10","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 11","bindi nr 11","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 12","bindi nr 12","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 13","bindi nr 13","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 14","bindi nr 14","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 15","bindi nr 15","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 16","bindi nr 16","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 17 -You will get random one out of 3 designs","bindi nr 17 -you will get random one out of 3 designs","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 18","bindi nr 18","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 19","bindi nr 19","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 2","bindi nr 2","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 20","bindi nr 20","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 21","bindi nr 21","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 22","bindi nr 22","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 23","bindi nr 23","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 24","bindi nr 24","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 25","bindi nr 25","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 26","bindi nr 26","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 27","bindi nr 27","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 28","bindi nr 28","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 29","bindi nr 29","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 3","bindi nr 3","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 30","bindi nr 30","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 31","bindi nr 31","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 4","bindi nr 4","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 47","bindi nr 47","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 48A","bindi nr 48a","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 48B","bindi nr 48b","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 48C","bindi nr 48c","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 49A","bindi nr 49a","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 49B","bindi nr 49b","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 5","bindi nr 5","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 50","bindi nr 50","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 51","bindi nr 51","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 52","bindi nr 52","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 53","bindi nr 53","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 55","bindi nr 55","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 6","bindi nr 6","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 7","bindi nr 7","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 8","bindi nr 8","inactive",1,"2026-04-17 10:01:12"
"Bindi NR 9","bindi nr 9","inactive",1,"2026-04-17 10:01:12"
"Bintang Indonesian Beer 4.7% Alc.- Age check Included - Bottle - 330ml","bintang indonesian beer 4.7% alc.- age check included - bottle - 330ml","inactive",1,"2026-04-17 10:01:12"
"Bio Asia Coconut Flour 250gm","bio asia coconut flour 250gm","inactive",1,"2026-04-17 10:01:12"
"Bio Asia Organic Coconut Milk 160ml","bio asia organic coconut milk 160ml","inactive",1,"2026-04-17 10:01:12"
"Bio Asia Organic Coconut Milk 400ml","bio asia organic coconut milk 400ml","inactive",1,"2026-04-17 10:01:12"
"Bio Asia Organic Coconut Sugar 250gm","bio asia organic coconut sugar 250gm","inactive",1,"2026-04-17 10:01:12"
"Bio Asia Organic Ghee 250ml","bio asia organic ghee 250ml","inactive",1,"2026-04-17 10:01:12"
"Bio Asia Organic Shirataki - Rice Style 270gm","bio asia organic shirataki - rice style 270gm","inactive",1,"2026-04-17 10:01:12"
"Bio Asia Organic Sushi Rice 500gm","bio asia organic sushi rice 500gm","inactive",1,"2026-04-17 10:01:12"
"Bio Asia Organic Sushi Vinegar 150ml","bio asia organic sushi vinegar 150ml","inactive",1,"2026-04-17 10:01:12"
"BIO ITALIENISCHES OLIVENÖL NATIV EXTRA 250ml","bio italienisches olivenÖl nativ extra 250ml","inactive",1,"2026-04-17 10:01:12"
"Bio Oil 60ml","bio oil 60ml","inactive",1,"2026-04-17 10:01:12"
"BIODEGRADABLE 10 INCH 3 PARTITION ROUND PLATES – 20g (10Pcs)","biodegradable 10 inch 3 partition round plates – 20g (10pcs)","inactive",1,"2026-04-17 10:01:12"
"BIODEGRADABLE 12 INCH ROUND PLATES – 20g (10Pcs)","biodegradable 12 inch round plates – 20g (10pcs)","inactive",1,"2026-04-17 10:01:12"
"BIODEGRADABLE 3 PARTITION SQUARE PLATES – 20g (10Pcs)","biodegradable 3 partition square plates – 20g (10pcs)","inactive",1,"2026-04-17 10:01:12"
