product_name,norm_name,source,deal_count,created_at
"CHEESE NAAN – 1 Pc  WITH VEG COMBO (For 10 Persons)","cheese naan – 1 pc  with veg combo (for 10 persons)","inactive",1,"2026-04-17 10:01:12"
"Chetak- Leather Cricket Ball-Red Colour","chetak- leather cricket ball-red colour","inactive",1,"2026-04-17 10:01:12"
"Chheda’s Aloo Bhujia 150g","chheda’s aloo bhujia 150g","inactive",1,"2026-04-17 10:01:12"
"CHHEDA’S BANANA CHIPS MASALA LONG – 170g","chheda’s banana chips masala long – 170g","inactive",1,"2026-04-17 10:01:12"
"Chick Peas | TRS Chick Peas 500g","chick peas | trs chick peas 500g","inactive",1,"2026-04-17 10:01:12"
"Children's Instant Print 1080P Digital Camera with Paper","children's instant print 1080p digital camera with paper","inactive",1,"2026-04-17 10:01:12"
"Children's Puzzle Toy Birthday Gift","children's puzzle toy birthday gift","inactive",1,"2026-04-17 10:01:12"
"Children's Smart Watch","children's smart watch","inactive",1,"2026-04-17 10:01:12"
"Chili Bund","chili bund","inactive",1,"2026-04-17 10:01:12"
"Chimay Hot Sauce - Habanero Roja (100%) 150ml","chimay hot sauce - habanero roja (100%) 150ml","inactive",1,"2026-04-17 10:01:12"
"Ching's Hakka Noodles Masala 20gm","ching's hakka noodles masala 20gm","inactive",1,"2026-04-17 10:01:12"
"Ching's Schezwan Noodles - Pack of 4","ching's schezwan noodles - pack of 4","inactive",1,"2026-04-17 10:01:12"
"Chings: 20g Masala Veg Manchurian Spice-Mix","chings: 20g masala veg manchurian spice-mix","inactive",1,"2026-04-17 10:01:12"
"Ching’s Schezwan Hot Sauce 250g","ching’s schezwan hot sauce 250g","inactive",1,"2026-04-17 10:01:12"
"Ching’s Schezwan Noodles 60g","ching’s schezwan noodles 60g","inactive",1,"2026-04-17 10:01:12"
"CHING’S SECRET PANEER CHILLI MASALA – 50g","ching’s secret paneer chilli masala – 50g","inactive",1,"2026-04-17 10:01:12"
"CHING’S SECRET SCHEZWAN INSTANT NOODLES – 240g","ching’s secret schezwan instant noodles – 240g","inactive",1,"2026-04-17 10:01:12"
"CHING’S SECRET VEG HAKKA NOODLES – 140g","ching’s secret veg hakka noodles – 140g","inactive",1,"2026-04-17 10:01:12"
"Ching’s Soup Mixed Veg 55g","ching’s soup mixed veg 55g","inactive",1,"2026-04-17 10:01:12"
"Ching’s Soup Tomato 55g","ching’s soup tomato 55g","inactive",1,"2026-04-17 10:01:12"
"Chipiya (num-3)","chipiya (num-3)","inactive",1,"2026-04-17 10:01:12"
"Choya Umeshu Pio Set (3pcs)","choya umeshu pio set (3pcs)","inactive",1,"2026-04-17 10:01:12"
"Chozha’s Thanjavur Ponni Boiled Rice 2x5kg","chozha’s thanjavur ponni boiled rice 2x5kg","inactive",1,"2026-04-17 10:01:12"
"Chozha’s Thanjavur Ponni Boiled Rice 4x5kg","chozha’s thanjavur ponni boiled rice 4x5kg","inactive",1,"2026-04-17 10:01:12"
"Chozha’s Thanjavur Ponni Boiled Rice 5kg","chozha’s thanjavur ponni boiled rice 5kg","inactive",1,"2026-04-17 10:01:12"
